daily_income_employee_shift,daily_pos_sum,daily_income_card,daily_income_cash
1,742330,400858,267239
2,309145,155809,122422
4,367325,205959,120960
5,962560,586199,251228
6,249025,113307,113306
8,290590,143842,117689
9,373480,211763,124369
10,505515,277528,177436
12,169000,97767,52643
13,359610,206488,106373
14,265375,169044,72447
16,740700,399978,266652
17,292610,147475,115874
18,253905,143964,84551
20,210220,130967,56129
21,602380,262036,262035
22,173160,86667,70909
24,82440,46743,27453
25,183670,100835,64468
26,565570,330858,178155
28,152270,89443,46077
29,295800,180142,77204
30,290750,158750,105833
32,915660,461493,362601
33,327380,185624,109018
34,406460,256070,109744
36,455925,202887,202886
37,886450,424167,347045
38,294135,168628,99035
40,303355,166542,106478
41,352175,206023,110935
42,799865,475120,244759
44,1532780,954922,409252
45,61280,31988,21326
46,150810,76853,60384
48,235740,133665,78501
49,356890,224841,96360
50,548835,246976,246976
52,742330,363371,297303
53,309145,169442,99514
54,367325,203902,130364
56,962560,563098,303206
57,249025,147921,76202
58,290590,183072,78459
60,373480,199438,132959
61,505515,246287,193511
62,169000,96888,56902
64,359610,226554,97095
65,265375,119419,119419
66,740700,366647,299983
68,292610,164066,96357
69,253905,134747,86150
70,210220,124345,66955
72,602380,357814,184328
73,173160,109091,46753
74,82440,44518,29678
76,183670,91541,71925
77,565570,309989,182057
78,152270,96996,41570
80,295800,133110,133110
81,290750,143921,117754
82,915660,519179,304915
84,327380,177734,113634
85,406460,229853,123767
86,455925,273829,141063
88,886450,558464,239341
89,294135,158833,105889
90,303355,152891,120129
92,352175,197465,115971
93,799865,487118,208765
94,1532780,697415,697415
96,61280,30334,24818
97,150810,85509,50220
98,235740,129421,82745
100,356890,206461,111171
101,548835,315141,162345
102,742330,472864,202656
104,309145,166939,111292
105,367325,185132,145461
106,962560,545772,320532
108,249025,155142,66490
109,290590,126407,126406
110,373480,186927,152940
112,505515,286627,168337
113,169000,92781,59319
114,359610,210372,113277
116,265375,155881,80303
117,740700,451086,193323
118,292610,159765,106510
120,253905,127968,100547
121,210220,119195,70003
122,602380,379499,162643
124,173160,77056,77056
125,82440,39448,32275
126,183670,105298,61842
128,565570,310498,198515
129,152270,89078,47965
130,295800,175705,90515
132,290750,181138,77630
133,915660,477974,318650
134,327380,166833,131083
136,406460,230463,135351
137,455925,287233,123100
138,886450,398903,398902
140,294135,143979,117801
141,303355,166269,97650
142,352175,195492,124987
144,799865,467921,251958
145,1532780,910471,469031
146,61280,38606,16546
148,150810,80533,53688
149,235740,114853,90241
150,356890,204605,120165
152,548835,345766,148186
153,742330,334049,334048
154,309145,153027,125204
156,367325,205959,120960
157,962560,510830,326597
158,249025,147298,79315